,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
0,USA,North America,333998303,67631191,0,874321,0,43165667,0,23591203,25869,202490,2618,862458737,2582225,Americas
1,India,Asia,1400939318,37618271,0,486784,0,35394882,0,1736605,8944,26852,347,705411425,503527,South-EastAsia
2,Brazil,South America,214891229,23083297,0,621261,0,21710831,0,751205,8318,107419,2891,63776166,296783,Americas
3,UK,Europe,68436401,15305410,0,152075,0,11497602,0,3655733,746,223644,2222,434073111,6342723,Europe
4,France,Europe,65496464,14274528,0,127263,0,9198995,0,4948270,3895,217943,1943,211520605,3229497,Europe
5,Russia,Europe,146031061,10865512,31252,322678,688,9902935,24564,639899,2300,74405,2210,247200000,1692791,Europe
6,Turkey,Asia,85739301,10522099,0,84920,0,9737610,0,699569,1128,122722,990,125433490,1462964,Europe
7,Italy,Europe,60324574,8790302,0,141391,0,6093633,0,2555278,1717,145717,2344,156338495,2591622,Europe
8,Spain,Europe,46782734,8424503,0,90993,0,5331175,0,3002335,2251,180077,1945,66213858,1415348,Europe
9,Germany,Europe,84197463,8045348,0,116411,0,7050100,50100,878837,3212,95553,1383,89622218,1064429,Europe
10,Argentina,South America,45835727,7197323,0,118231,0,6193473,0,885619,2099,157024,2579,30753911,670959,Americas
11,Iran,Asia,85651435,6227849,3653,132113,18,6068983,2164,26753,1295,72712,1542,43589571,508918,EasternMediterranean
12,Colombia,South America,51719680,5568068,0,131130,0,5258204,0,178734,342,107659,2535,31171683,602704,Americas
13,Mexico,North America,131022844,4385415,17101,301469,59,3478130,34246,605816,4798,33471,2301,13163932,100471,Americas
14,Poland,Europe,37782620,4343130,19652,102686,377,3806139,6088,434305,1421,114950,2718,28692292,759405,Europe
15,Indonesia,Asia,277986279,4273783,1362,144183,9,4120036,564,9564,0,15374,519,67994361,244596,South-EastAsia
16,Ukraine,Europe,43328102,3768088,8558,98549,188,3561923,5761,107616,177,86966,2274,17220495,397444,Europe
17,Netherlands,Europe,17193395,3611351,0,21158,0,2945586,0,644607,322,210043,1231,21107399,1227646,Europe
18,South Africa,Africa,60462270,3560921,0,93451,0,3375859,0,91611,546,58895,1546,21815463,360811,Africa
19,Philippines,Asia,111830980,3270758,28471,52962,34,2933338,34892,284458,1371,29247,474,26337108,235508,WesternPacific
20,Malaysia,Asia,33005724,2810689,0,31808,0,2738262,0,40619,184,85158,964,43040808,1304041,WesternPacific
21,Canada,North America,38252795,2801446,0,31679,0,2438396,0,331371,1130,73235,828,54965957,1436913,Americas
22,Peru,South America,33680346,2631826,0,203550,0,0,0,0,1046,78141,6044,23372678,693956,Americas
23,Czechia,Europe,10739649,2624121,20270,36910,11,2443230,174,143981,276,244340,3437,48288000,4496236,Europe
24,Belgium,Europe,11667474,2484027,22891,28661,15,1971152,9604,484214,391,212902,2456,28652799,2455784,Europe
25,Thailand,Asia,70070334,2337811,6397,21959,18,2233903,6637,81949,588,33364,313,17270775,246478,South-EastAsia
26,Iraq,Asia,41613748,2118779,0,24252,0,2070472,0,24055,64,50915,583,17065477,410092,EasternMediterranean
27,Vietnam,Asia,98690035,2062128,16838,35972,184,1756154,8692,270002,5409,20895,364,76406898,774211,WesternPacific
28,Romania,Europe,19039551,1928306,16760,59327,65,1784107,7985,84872,487,101279,3116,18090363,950147,Europe
29,Portugal,Europe,10150809,1906891,0,19334,0,1556399,0,331158,174,187856,1905,30295166,2984508,Europe
30,Japan,Asia,125878713,1903190,23351,18434,1,1743136,7227,141620,261,15119,146,30776929,244497,WesternPacific
31,Chile,South America,19369416,1885540,0,39426,0,1751098,0,95016,417,97346,2035,28532070,1473048,Americas
32,Australia,Australia/Oceania,25956351,1876035,73580,2776,77,663745,0,1209514,419,72277,107,59146070,2278674,WesternPacific
33,Israel,Asia,9326000,1792137,0,8318,0,1530716,0,253103,446,192166,892,41373364,4436346,Europe
34,Switzerland,Europe,8752297,1755898,19305,12626,9,1176152,5762,567120,266,200621,1443,15667800,1790136,Europe
35,Greece,Europe,10344450,1679705,0,22087,0,1366325,0,291293,672,162377,2135,52889589,5112847,Europe
36,Bangladesh,Asia,167221060,1624387,0,28154,0,1553320,0,42913,1349,9714,168,11893405,71124,South-EastAsia
37,Sweden,Europe,10196454,1560363,0,15470,0,1242949,3413,301944,101,153030,1517,16009781,1570132,Europe
38,Austria,Europe,9085710,1475991,16685,13942,20,1314129,10126,147920,197,162452,1534,132722605,14607841,Europe
