,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
0,USA,North America,334003597,68767004,,877240,,43528110,,24361654,25810,205887,2626,867857475,2598348
1,India,Asia,1400976358,37901241,,487226,,35583039,,1830976,8944,27053,348,707421650,504949
2,Brazil,South America,214895351,23215551,,621578,,21773085,,820888,8318,108032,2892,63776166,296778
3,UK,Europe,68437373,15399300,,152513,,11617031,,3629756,713,225013,2229,435557723,6364326
4,France,Europe,65496857,14739297,,127638,,9406719,,5204940,3895,225038,1949,211520605,3229477
5,Russia,Europe,146031231,10899411,33899,323376,698,9925855,22920,650180,2300,74638,2214,247600000,1695528
6,Turkey,Asia,85741779,10591757,,85077,,9815222,,691458,1128,123531,992,125851743,1467800
7,Italy,Europe,60324332,9018425,,141825,,6314444,,2562156,1715,149499,2351,157819844,2616189
8,Spain,Europe,46782783,8518975,,91277,,5364534,,3063164,2243,182096,1951,66213858,1415347
9,Germany,Europe,84198193,8140446,,116610,,7098400,48300,925436,3212,96682,1385,89622218,1064420
10,Argentina,South America,45836859,7318305,,118420,,6295472,,904413,2330,159660,2584,30919035,674545
11,Iran,Asia,85654372,6227849,,132113,,6068983,,26753,1295,72709,1542,43589571,508901
12,Colombia,South America,51721161,5596917,,131268,,5290934,,174715,342,108213,2538,31264531,604482
13,Mexico,North America,131026542,4434758,49343,301789,320,3509194,31064,623775,4798,33846,2303,13244807,101085
14,Poland,Europe,37782507,4343130,,102686,,3806139,,434305,1421,114951,2718,28692292,759407
15,Indonesia,Asia,277994177,4273783,,144183,,4120036,,9564,,15374,519,67994361,244589
16,Ukraine,Europe,43327388,3780903,12815,98712,163,3567336,5413,114855,177,87264,2278,17270793,398611
17,Netherlands,Europe,17193499,3642696,,21168,,2958835,,662693,312,211865,1231,21107399,1227638
18,South Africa,Africa,60464313,3564578,,93551,,3380374,,90653,546,58953,1547,21855117,361455
19,Philippines,Asia,111834966,3293625,22958,53044,82,2969853,36611,270728,1371,29451,474,26468749,236677
20,Canada,North America,38253698,2820398,,31825,,2466739,,321834,1130,73729,832,55234662,1443904
21,Malaysia,Asia,33006857,2813934,,31818,,2741355,,40761,183,85253,964,43128519,1306653
22,Peru,South America,33681601,2668224,,203645,,,,,1055,79219,6046,23488903,697381
