Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,334008890,69808350,0,880976,0,43892277,0,25035097,26283,209001,2638,871652953,2609670,Americas
India,Asia,1401013398,38218773,0,487719,0,35807029,0,1924025,8944,27279,348,709356830,506317,South-EastAsia
Brazil,South America,214899473,23420861,0,621927,0,21848301,0,950633,8318,108985,2894,63776166,296772,Americas
UK,Europe,68438346,15506750,0,152872,0,11738323,0,3615555,703,226580,2234,437010764,6385466,Europe
France,Europe,65497250,15175464,0,127869,0,9612731,0,5434864,3881,231696,1952,216918555,3311873,Europe
Russia,Europe,146031401,10938261,38850,324060,684,9950333,24478,663868,2300,74903,2219,247600000,1695526,Europe
Turkey,Asia,85744257,10664372,0,85253,0,9899648,0,679471,1128,124374,994,126263774,1472562,Europe
Italy,Europe,60324090,9219391,0,142205,0,6450596,0,2626590,1688,152831,2357,159001733,2635792,Europe
Spain,Europe,46782833,8676916,0,91437,0,5390818,0,3194661,2230,185472,1954,66213858,1415345,Europe
Germany,Europe,84198923,8320754,58356,116935,67,7139800,41400,1064019,2664,98823,1389,89622218,1064411,Europe
Argentina,South America,45837991,7446626,0,118628,0,6384343,0,943655,2310,162455,2588,31095885,678387,Americas
Iran,Asia,85657310,6236567,4658,132152,20,6073412,2195,31003,1247,72808,1543,43680828,509949,EasternMediterranean
Colombia,South America,51722642,5624520,0,131437,0,5322450,0,170633,342,108744,2541,31355675,606227,Americas
Mexico,North America,131030241,4495310,60552,302112,323,3551283,42089,641915,4798,34307,2306,13398630,102256,Americas
Poland,Europe,37782394,4406553,32835,103378,315,3813718,5629,489457,1297,116630,2736,28939723,765958,Europe
Indonesia,Asia,278002074,4277644,2116,144199,7,4121117,577,12328,0,15387,519,68853446,247672,South-EastAsia
Ukraine,Europe,43326674,3799382,18479,98843,131,3571782,4446,128757,177,87692,2281,17332435,400041,Europe
Netherlands,Europe,17193602,3720816,39920,21188,10,2980283,9294,719345,299,216407,1232,21107399,1227631,Europe
South Africa,Africa,60466356,3568900,0,93707,0,3390027,0,85166,546,59023,1550,21895771,362115,Africa
Philippines,Asia,111838951,3324478,31173,53153,110,2995961,26298,275364,1371,29726,475,26468749,236668,WesternPacific
Canada,North America,38254601,2844910,0,32008,0,2499913,0,312989,1130,74368,837,55451431,1449536,Americas
Malaysia,Asia,33007990,2817163,0,31831,0,2744203,0,41129,162,85348,964,43272456,1310969,WesternPacific
Peru,South America,33682857,2723166,0,203750,0,0,0,0,1103,80847,6049,23656156,702320,Americas
Czechia,Europe,10739757,2678767,25989,36972,12,2447642,193,194153,245,249425,3443,48556054,4521150,Europe
Belgium,Europe,11667749,2575313,53851,28726,31,1982261,7668,564326,389,220721,2462,28868856,2474244,Europe
Thailand,Asia,70071288,2353062,8129,21990,19,2248341,6978,82731,588,33581,314,17270775,246474,South-EastAsia
Iraq,Asia,41618692,2137267,5767,24272,5,2072723,885,40272,72,51354,583,17144299,411937,EasternMediterranean
Vietnam,Asia,98694816,2094802,16715,36266,152,1794924,5736,263612,4591,21225,367,76534613,775467,WesternPacific
Israel,Asia,9326000,2035432,0,8362,0,1530716,0,496354,541,218253,897,41373364,4436346,Europe
Australia,Australia/Oceania,25957967,2022581,71407,2890,49,903993,0,1115698,411,77918,111,59454882,2290429,WesternPacific
Portugal,Europe,10150647,2003169,0,19413,0,1627279,0,356477,153,197344,1912,30295166,2984555,Europe
Japan,Asia,125876606,1972893,39841,18457,13,1758941,8305,195495,287,15673,147,31148091,247449,WesternPacific
Romania,Europe,19038854,1964021,19105,59428,39,1806581,12913,98012,547,103159,3121,18286467,960481,Europe
Chile,South America,19370311,1916522,13865,39456,25,1754355,880,122711,422,98941,2037,28759502,1484721,Americas
Switzerland,Europe,8752642,1833443,17513,12659,2,1191909,11444,628875,248,209473,1446,15880413,1814357,Europe
Sweden,Europe,10196798,1741710,0,15596,0,1252603,4690,473511,110,170810,1529,16009781,1570079,Europe
Greece,Europe,10344173,1723496,0,22285,0,1429157,0,272054,683,166615,2154,53819680,5202898,Europe
Bangladesh,Asia,167230019,1653182,10888,28180,4,1554845,577,70157,1349,9886,169,12007581,71803,South-EastAsia
Austria,Europe,9085990,1503668,0,13956,0,1328340,0,161372,193,165493,1536,133564965,14700100,Europe
